record_id,repo_id,file,line,rule,kind,label,harness_label,usefulness,notes,fp_reason,reviewed_at
RR-937189fed10f53c7,openai-plugins-public-pilot,plugins/codex-security/scripts/generate_rank_input.py,296,command_injection,security,useful_advisory,useful_review_lead,3,,Security lead: trace whether argv includes external data,2026-05-31T11:18:18+00:00
RR-d97126368f63047f,openai-plugins-public-pilot,plugins/game-studio/scripts/normalize_sprite_strip.py,115,path_traversal,security,false_positive,misleading,0,fp_reason: Early return on None path,Early return on None path,2026-05-31T11:18:18+00:00
RR-30baad4546e60b86,openai-plugins-public-pilot,plugins/github/skills/gh-address-comments/scripts/fetch_comments.py,96,command_injection,security,unclear,undecidable,2,,Needs caller inspection; cannot confirm from packet alone,2026-05-31T11:18:18+00:00
RR-b6bdfd97e180c9a8,openai-plugins-public-pilot,plugins/google-calendar/skills/google-calendar-daily-brief/scripts/render_day_brief.py,40,path_traversal,security,useful_advisory,useful_review_lead,3,,Operator-chosen input file; document trust boundary,2026-05-31T11:18:18+00:00
RR-e1f9b32928cdad52,openai-plugins-public-pilot,plugins/google-calendar/skills/google-calendar-daily-brief/scripts/render_day_brief.py,284,null_dereference,value_flow,false_positive,misleading,0,fp_reason: Agree: guard or short-circuit visible in source window,Agree: guard or short-circuit visible in source window,2026-05-31T11:18:18+00:00
RR-8859ee3d1de0dfa7,openai-plugins-public-pilot,plugins/google-calendar/skills/google-calendar-daily-brief/scripts/render_day_brief.py,287,null_dereference,value_flow,false_positive,misleading,0,fp_reason: Agree: guard or short-circuit visible in source window,Agree: guard or short-circuit visible in source window,2026-05-31T11:18:18+00:00
RR-4e1ce1428889e2b1,openai-plugins-public-pilot,plugins/google-calendar/skills/google-calendar-daily-brief/scripts/render_day_brief.py,288,null_dereference,value_flow,false_positive,misleading,0,fp_reason: Agree: guard or short-circuit visible in source window,Agree: guard or short-circuit visible in source window,2026-05-31T11:18:18+00:00
RR-333c808579d40764,openai-plugins-public-pilot,plugins/hugging-face/skills/community-evals/scripts/inspect_vllm_uv.py,105,command_injection,security,useful_advisory,useful_review_lead,3,,Security lead: trace whether argv includes external data,2026-05-31T11:18:18+00:00
RR-f58a8836b0a44aeb,openai-plugins-public-pilot,plugins/hugging-face/skills/community-evals/scripts/inspect_vllm_uv.py,170,command_injection,security,useful_advisory,useful_review_lead,3,,Security lead: trace whether argv includes external data,2026-05-31T11:18:18+00:00
RR-b1b7d0a26d5f75b3,openai-plugins-public-pilot,plugins/hugging-face/skills/community-evals/scripts/lighteval_vllm_uv.py,101,command_injection,security,useful_advisory,useful_review_lead,3,,Security lead: trace whether argv includes external data,2026-05-31T11:18:18+00:00
RR-524c49ab50d6f541,openai-plugins-public-pilot,plugins/hugging-face/skills/community-evals/scripts/lighteval_vllm_uv.py,165,command_injection,security,useful_advisory,useful_review_lead,3,,Security lead: trace whether argv includes external data,2026-05-31T11:18:18+00:00
RR-87320ecc83e9e4bd,openai-plugins-public-pilot,plugins/hugging-face/skills/llm-trainer/scripts/convert_to_gguf.py,81,command_injection,security,useful_advisory,useful_review_lead,3,,Security lead: trace whether argv includes external data,2026-05-31T11:18:18+00:00
RR-c436aadb9b35f916,openai-plugins-public-pilot,plugins/hugging-face/skills/paper-publisher/scripts/paper_manager.py,73,null_dereference,value_flow,false_positive,misleading,0,fp_reason: Agree: guard or short-circuit visible in source window,Agree: guard or short-circuit visible in source window,2026-05-31T11:18:18+00:00
RR-95d85dbcfca471cc,openai-plugins-public-pilot,plugins/hugging-face/skills/paper-publisher/scripts/paper_manager.py,102,null_dereference,value_flow,false_positive,misleading,0,fp_reason: Agree: guard or short-circuit visible in source window,Agree: guard or short-circuit visible in source window,2026-05-31T11:18:18+00:00
RR-42efc111d1ead93d,openai-plugins-public-pilot,plugins/hugging-face/skills/paper-publisher/scripts/paper_manager.py,288,path_traversal,security,false_positive,misleading,0,fp_reason: Internal template resolution,Internal template resolution,2026-05-31T11:18:18+00:00
RR-b9230bd315104908,openai-plugins-public-pilot,plugins/hugging-face/skills/paper-publisher/scripts/paper_manager.py,327,path_traversal,security,unclear,undecidable,2,,Second reviewer could not confirm traversal risk from window,2026-05-31T11:18:18+00:00
